incident_type,state,year
Snowstorm,VA,2016
Snowstorm,VA,2016
Snowstorm,VA,2016
Snowstorm,VA,2016
Snowstorm,VA,2016
Snowstorm,VA,2016
Snowstorm,VA,2016
Snowstorm,VA,2016
Snowstorm,VA,2016
Snowstorm,VA,2016
Snowstorm,VA,2016
Snowstorm,VA,2016
Snowstorm,VA,2016
Snowstorm,VA,2016
Snowstorm,VA,2016
Snowstorm,VA,2016
Snowstorm,VA,2016
Snowstorm,VA,2016
Snowstorm,VA,2016
Snowstorm,VA,2016
Snowstorm,VA,2016
Snowstorm,VA,2016
Snowstorm,VA,2016
Snowstorm,VA,2016
Snowstorm,VA,2016
Snowstorm,VA,2016
Snowstorm,VA,2016
Snowstorm,VA,2016
Snowstorm,VA,2016
Snowstorm,VA,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Flood,TX,2016
Hurricane,VA,2016
Hurricane,VA,2016
Hurricane,VA,2016
Hurricane,VA,2016
Hurricane,VA,2016
Hurricane,VA,2016
Hurricane,VA,2016
Hurricane,VA,2016
Hurricane,VA,2016
Hurricane,VA,2016
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Hurricane,TX,2017
Fire,TX,2018
Fire,TX,2018
Fire,TX,2018
Fire,TX,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,IN,2018
Flood,TX,2018
Flood,TX,2018
Flood,TX,2018
Fire,TX,2018
Fire,TX,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
Hurricane,VA,2018
